"user_id","screen_name","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1065190678819426304","Bioinfo4women","Bioinfo4Women","","<U+0001F469><U+200D><U+0001F4BB> Women in Bioinformatics Programme by the Life Sciences Dept @BSC_CNS
#Bioinformatics #HPC #PerMed
#WomenInSTEM #WomenInScience
#AIGenderBias #AdvCompBio","https://t.co/bPKhKjysVJ",FALSE,2272,1203,18,1698,2306,2018-11-21 10:30:22,FALSE,"https://t.co/bPKhKjysVJ","http://bioinfo4women.bsc.es",,"https://pbs.twimg.com/profile_banners/1065190678819426304/1617869249","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1065191023729623040/ulsYUu7t_normal.jpg"
"x20247396","randomvichar","Randomvichar","Bharatvarsh","Preferred Pronoun: His Majesty",,FALSE,348,153,10,14659,11791,2009-02-06 16:07:05,FALSE,,,,"https://pbs.twimg.com/profile_banners/20247396/1596648487","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1298349313324544000/TPZ6em-s_normal.jpg"
"x829405647124852736","EnricoManlapig","Enrico Manlapig","Santa Barbara, CA","Economics & Business professor at Westmont College | Dad | Husband | <U+0001F1F5><U+0001F1ED><U+0001F1E6><U+0001F1FA><U+0001F1FA><U+0001F1F2>","https://t.co/cEaS0tEci4",FALSE,15,105,0,135,207,2017-02-08 19:04:50,FALSE,"https://t.co/cEaS0tEci4","http://emanlapig.net",,"https://pbs.twimg.com/profile_banners/829405647124852736/1621573197",,"http://pbs.twimg.com/profile_images/1395601651772190723/xSN5jyMp_normal.jpg"
"x42950393","Matrix_MSU","Matrix: Digital Humanities & Social Sciences","Michigan State University","Matrix: Center for Digital Humanities & Social Sciences
Michigan State University
#EnslavedOrg","http://t.co/6I5L5wDBSQ",FALSE,2052,1602,113,1857,1047,2009-05-27 19:16:36,FALSE,"http://t.co/6I5L5wDBSQ","http://matrix.msu.edu",,"https://pbs.twimg.com/profile_banners/42950393/1619787916","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1124338969355927558/IUlTAGSW_normal.png"
"x866729142","JenniferCregar","Jennifer Cregar","Sarasota, FL","District Sales Manager @ADP Expertise in #HCM, #talentmanagement, When not working, found in and on the water. Part mermaid. <U+0001F9DC><U+200D><U+2640><U+FE0F> Tweets are my own.","https://t.co/95v7g3MojM",FALSE,137,228,59,3662,2213,2012-10-07 18:20:01,FALSE,"https://t.co/95v7g3MojM","http://www.adp.com/solutions/midsized-business.aspx",,"https://pbs.twimg.com/profile_banners/866729142/1541130356","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1058204540896505856/L1fRPe7s_normal.jpg"
"x2176513952","thecriticaldom","Dominic Martyne","","Cancer survivor, DeMolay, Freemason, American Historian, Classicist, contributor to @ArcDigi, and Dungeon Master. Possible cousin to Gimli. I also paint models.","https://t.co/je6f1XMMTl",FALSE,211,537,14,13686,11832,2013-11-05 17:43:29,FALSE,"https://t.co/je6f1XMMTl","http://www.twitch.tv/criticaldom",,"https://pbs.twimg.com/profile_banners/2176513952/1472961138","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1248072291776376832/v2x7Qcqu_normal.jpg"
"x110465562","j_w_baker","James Baker","Faversham<U+21C6>Falmer<U+21C6>London<U+21C6>EU","Now: Director @SussexHumsLab · Soon: Director of Digital Humanities @HumanitiesUoS · Historian · Power+People+Tech · @ProgHist · @SoftwareSaved · He/Him","https://t.co/2MgCgC3t85",FALSE,5599,3125,225,47313,6711,2010-02-01 17:00:59,FALSE,"https://t.co/2MgCgC3t85","http://cradledincaricature.com/",,"https://pbs.twimg.com/profile_banners/110465562/1464596371","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1358100938284818433/lxVZ_J5a_normal.jpg"
"x1656941546","osmfarm","Leah Claire","Point Elliot Treaty","Growing food & soil on a 1/4 acre. She/her. Cis/Het/Settler. Subvert the dominant paradigm. Expand the demos. Land & Resources Back + Reparations. Decolonize.",,FALSE,466,3353,3,17636,45557,2013-08-09 05:03:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/1656941546/1560147106","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1162780198703521793/43UzAVWb_normal.jpg"
"x125351426","HEGoingGlobal","British Council Higher Education","","Extending, strengthening and deepening the international connections of the UK’s higher education sector","https://t.co/OKL4m7Y0Km",FALSE,16598,1910,346,12032,2918,2010-03-22 14:45:51,TRUE,"https://t.co/OKL4m7Y0Km","https://www.britishcouncil.org/education/he-science",,"https://pbs.twimg.com/profile_banners/125351426/1605693197","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1259871868959559681/lGkr7y_j_normal.jpg"
"x1039560985705701381","StatalieT","Natalie Thurlby","Bristol, England","Data Scientist @JGIBristol.    
Comp-bio<U+0001F469><U+200D><U+0001F4BB><U+0001F9EC>.   
Reproducibility<U+2728>.     
#DataEthicsClub
Python<U+0001F40D>.  
Sea shanty band <U+2693><U+FE0F><U+0001F9DC><U+200D><U+2640><U+FE0F><U+0001F37B>. 
Friend to <U+0001F422>.","https://t.co/ZgMARGWmrC",FALSE,382,431,7,877,1335,2018-09-11 17:07:07,FALSE,"https://t.co/ZgMARGWmrC","https://very-good-science.github.io/data-hazards/",,"https://pbs.twimg.com/profile_banners/1039560985705701381/1610030996","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1390631181931188225/M-nbFie8_normal.jpg"
"x226698188","ninadicara","Nina","Newport, Wales","(she/her) Tweeting about data science, mental health, social work, PhD life and the third sector <U+0001F450>  co-organiser of #DataEthicsClub","https://t.co/AvkWwmmXVu",FALSE,712,1679,17,6000,7762,2010-12-14 21:03:00,FALSE,"https://t.co/AvkWwmmXVu","http://ninadicara.co.uk",,"https://pbs.twimg.com/profile_banners/226698188/1573209420","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1399644705395294209/AtA6DDWA_normal.jpg"
"x11221722","jhmorin","jhmorin","Geneva, Switzerland","Associate professor at University of Geneva. Information Security, Blockchain, DRM, Digital Rights and Policy Management, Design Thinking","https://t.co/rN2TAe1BV7",FALSE,1378,439,169,4179,1967,2007-12-16 13:49:37,FALSE,"https://t.co/rN2TAe1BV7","http://jean-henry.com/",,"https://pbs.twimg.com/profile_banners/11221722/1401799285","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/568687211/jhm_normal.jpg"
"x11221722","jhmorin","jhmorin","Geneva, Switzerland","Associate professor at University of Geneva. Information Security, Blockchain, DRM, Digital Rights and Policy Management, Design Thinking","https://t.co/rN2TAe1BV7",FALSE,1378,439,169,4179,1967,2007-12-16 13:49:37,FALSE,"https://t.co/rN2TAe1BV7","http://jean-henry.com/",,"https://pbs.twimg.com/profile_banners/11221722/1401799285","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/568687211/jhm_normal.jpg"
"x2594604654","Raju1m","Raju kumar mishra","","#Kaggle Grandmaster A writer of  #PySparkRecipes a data scientist a programmer #Writer #BigData  #MachineLearning #Programmer #R #Python #Julia  #Scala #PySpark",,FALSE,1075,3567,8,1052,2670,2014-06-29 10:57:15,FALSE,,,,"https://pbs.twimg.com/profile_banners/2594604654/1506846843","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1067730068867305472/evQj1AMD_normal.jpg"
